,0,1,2,3,4,word order entropy,words,entropy_word_order,sentence,correct
521592,but,she,came,back,looking, ,"but,she,came,back,looking",0.7590804254988015,"She went off to get her ball, and was a long
time finding it among the bushes, but she came back, looking cool and
quiet, and waited her turn patiently.",0.375
70816,see,him,come,to,harm, ,"see,him,come,to,harm",0.7591607932372106,"""I won't deny
that I have a liking for Morris and would be sorry to see him come to
harm.",0.25
160041,questions,and,answers,in,which, ,"questions,and,answers,in,which",0.759287275997238,"""
But this is a realm of questions and answers in which a more fastidious
spirit does not like to stay: for here truth has to stifle her yawns so
much when she is obliged to answer.",0.35294117647058826
761715,tell,me,about,its,cause, ,"tell,me,about,its,cause",0.7595587481969872,"I may be acquainted, for example, with my toothache,
and this knowledge may be as complete as knowledge by acquaintance ever
can be, without knowing all that the dentist (who is not acquainted
with it) can tell me about its cause, and without therefore knowing its
'nature' in the above sense.",0.75
267515,the,road,was,somewhat,cleared, ,"the,road,was,somewhat,cleared",0.7596173689194572,"The road
was somewhat cleared for them by the gunboats.",0.7692307692307693
372145,the,case,of,the,entire, ,"the,case,of,the,entire",0.7596275059137412,"I have already instanced
the case of the entire disintegration of a regiment whose colonel I met
at Farmville.",0.2
549778,sing,the,song,of,the, ,"sing,the,song,of,the",0.7598863662411866,"I'll try to sing
the song of the shepherd boy which the Pilgrims heard.",0.8666666666666667
734491,as,free,from,irrelevant,additions, ,"as,free,from,irrelevant,additions",0.7598876494667124,"Philosophy should show us the hierarchy of our instinctive beliefs,
beginning with those we hold most strongly, and presenting each as much
isolated and as free from irrelevant additions as possible.",0.3888888888888889
298347,the,enemy,on,the,top, ,"the,enemy,on,the,top",0.7599578023264151,"The crossing had to be effected in full
view of the enemy on the top of Lookout Mountain.",0.7647058823529411
828078,doing,nothing,except,singing,old, ,"doing,nothing,except,singing,old",0.7602219978520139,"From dinner to tea she would lie
in her breeze-rocked cradle, doing nothing except singing old songs--my
nursery lore--to herself, or watching the birds, joint tenants, feed and
entice their young ones to fly: or nestling with closed lids, half
thinking, half dreaming, happier than words can express.",0.4375
67172,but,as,the,wise,general, ,"but,as,the,wise,general",3.1777611005247017,"But as the wise general chooses the moment of
victory in which to redouble his efforts, so that his foes may have no
time to steady themselves after disaster, so Boss McGinty, looking out
upon the scene of his operations with his brooding and malicious eyes,
had devised a new attack upon those who opposed him.",0.14285714285714285
876044,again,in,the,same,intimacy, ,"again,in,the,same,intimacy",3.177780794398931,"Our friendship cannot
be impaired by it, and in happier times, when your situation is as
independent as mine, it will unite us again in the same intimacy as
ever.",0.11764705882352941
249855,on,hand,to,hear,every, ,"on,hand,to,hear,every",3.177793875623273,"Correspondents of the press were ever on hand to hear every word
dropped, and were not always disposed to report correctly what did not
confirm their preconceived notions, either about the conduct of the war
or the individuals concerned in it.",0.25
541089,taken,from,one,of,the, ,"taken,from,one,of,the",3.1794939662703285,"Esther fitted up the
closet with a little table, placed a footstool before it, and over it a
picture taken from one of the shut-up rooms.",0.6111111111111112
488134,and,all,sat,looking,at, ,"and,all,sat,looking,at",3.1795426961899516,"Presently Beth and Amy woke to rummage
and find their little books also, one dove-colored, the other blue, and
all sat looking at and talking about them, while the east grew rosy
with the coming day.",0.3333333333333333
215056,we,were,slashed,around,from, ,"we,were,slashed,around,from",3.1797757213284257,"With us, now twenty years
after the close of the most stupendous war ever known, we have writers
--who profess devotion to the nation--engaged in trying to prove that the
Union forces were not victorious; practically, they say, we were slashed
around from Donelson to Vicksburg and to Chattanooga; and in the East
from Gettysburg to Appomattox, when the physical rebellion gave out from
sheer exhaustion.",0.14285714285714285
642561,parents,would,sleep,for,a, ,"parents,would,sleep,for,a",3.180691072883029,"This was how Gregor received his food each day now, once in the
morning while his parents and the maid were still asleep, and the
second time after everyone had eaten their meal at midday as his
parents would sleep for a little while then as well, and Gregor's
sister would send the maid away on some errand.",0.35714285714285715
100646,interfered,with,that,great,development, ,"interfered,with,that,great,development",3.180783887163315,"Never in any way had we interfered with that great
development of trade which has turned them from one of the poorest
to one of the richest of European States.",0.1875
196954,about,equally,divided,in,population, ,"about,equally,divided,in,population",3.1815410960229684,"San Antonio was about equally divided in population between Americans
and Mexicans.",0.0
562434,then,she,emerged,from,her, ,"then,she,emerged,from,her",3.181583167584808,"The divine afflatus usually
lasted a week or two, and then she emerged from her 'vortex', hungry,
sleepy, cross, or despondent.",0.47058823529411764
609891,shadow,and,gave,her,up, ,"shadow,and,gave,her,up",6.151013834405578,"So the spring days came and went, the sky grew clearer, the earth
greener, the flowers were up fairly early, and the birds came back in
time to say goodbye to Beth, who, like a tired but trustful child,
clung to the hands that had led her all her life, as Father and Mother
guided her tenderly through the Valley of the Shadow, and gave her up
to God.",0.0
236331,and,were,retained,generally,with, ,"and,were,retained,generally,with",6.152009619513244,"The North had a great number of educated and trained soldiers, but the
bulk of them were still in the army and were retained, generally with
their old commands and rank, until the war had lasted many months.",0.0
509516,the,daughter,went,to,take, ,"the,daughter,went,to,take",6.152499148354998,"But she begged so hard, and Sallie had promised to take
good care of her, and a little pleasure seemed so delightful after a
winter of irksome work that the mother yielded, and the daughter went
to take her first taste of fashionable life.",0.35714285714285715
226430,company,was,raised,and,the, ,"company,was,raised,and,the",6.153675038674361,"The company was raised and the officers and non-commissioned
officers elected before the meeting adjourned.",0.0
629440,school,with,me,to,take, ,"school,with,me,to,take",6.153784291814212,"I want to open a school for little lads--a good, happy,
homelike school, with me to take care of them and Fritz to teach them.",0.0
115261,people,had,been,innocently,misled, ,"people,had,been,innocently,misled",6.154686236742002,"We might have had a straight, honest fight,
and at the end of it we might have conceded that the German people
had been innocently misled, by their military caste and their Press,
into the idea that their country was being attacked, and so were
themselves guiltless in the matter.",0.5384615384615384
83910,make,a,bad,use,of, ,"make,a,bad,use,of",6.154797893200509,"He'll make a bad use of it, I'm afraid.",0.3076923076923077
603778,and,regarded,it,with,the, ,"and,regarded,it,with,the",6.156610576935126,"""

John laughed, and watched her for a minute, as she poised a pretty
little preparation of lace and flowers on her hand, and regarded it
with the genuine interest which his harangue had failed to waken.",0.5294117647058824
412294,abandoned,when,the,limited,quantity, ,"abandoned,when,the,limited,quantity",6.1566438543312145,"All idea of adopting this latter
     plan was abandoned when the limited quantity of supplies
     possible to take with us was considered.",0.2727272727272727
276538,to,the,right,with,my, ,"to,the,right,with,my",6.156754519849478,"This force,
Tuttle's division, not returning I rode to the right with my staff, and
soon found that the enemy had left that part of the line.",0.15789473684210525
755039,to,the,image,were,in, ,"to,the,image,were,in",9.159341364469583,"Moreover, we are certainly able
to some extent to compare our image with the object remembered, so
that we often know, within somewhat wide limits, how far our image is
accurate; but this would be impossible, unless the object, as opposed to
the image, were in some way before the mind.",0.0625
336403,send,them,believing,as,he, ,"send,them,believing,as,he",9.159354546181547,"Up to this time Beauregard, who had commanded south of Richmond, had
received no reinforcements, except Hoke's division from Drury's
Bluff,(*37) which had arrived on the morning of the 16th; though he had
urged the authorities very strongly to send them, believing, as he did,
that Petersburg would be a valuable prize which we might seek.",0.14285714285714285
546823,really,wondering,how,best,to, ,"really,wondering,how,best,to",9.159462757029615,"Jo skipped up, and
sitting on the top step, affected to be searching for her book, but was
really wondering how best to introduce the dangerous object of her
visit.",0.2857142857142857
762447,within,narrow,walls,of,which, ,"within,narrow,walls,of,which",9.160990194260755,"Instead of being shut in within narrow walls, of
which every nook and cranny could be explored, we find ourselves in an
open world of free possibilities, where much remains unknown because
there is so much to know.",0.3125
206170,the,chief,and,several,were, ,"the,chief,and,several,were",9.161024719917165,"This being refused by Congress, the
President asked legislative authority to place a junior over a senior of
the same grade, with the view of appointing Benton to the rank of
major-general and then placing him in command of the army, but Congress
failed to accede to this proposition as well, and Scott remained in
command: but every general appointed to serve under him was politically
opposed to the chief, and several were personally hostile.",0.38461538461538464
11399,no,longer,wear,the,decorations, ,"no,longer,wear,the,decorations",9.161056089602702,"He declared he
could no longer wear the decorations which he had received from the
Sovereign of the Congo State.",0.5384615384615384
763578,is,one,who,recognizes,only, ,"is,one,who,recognizes,only",9.163240884200864,"The 'practical' man, as
this word is often used, is one who recognizes only material needs, who
realizes that men must have food for the body, but is oblivious of the
necessity of providing food for the mind.",0.0
249825,was,everywhere,met,by,large, ,"was,everywhere,met,by,large",9.16341601490555,"After the war, during the summer of 1865, I travelled considerably
through the North, and was everywhere met by large numbers of people.",0.0
742701,such,bodies,do,not,cease, ,"such,bodies,do,not,cease",9.16502130690396,"If we are challenged as to why we believe that
it will continue to rise as heretofore, we may appeal to the laws of
motion: the earth, we shall say, is a freely rotating body, and such
bodies do not cease to rotate unless something interferes from outside,
and there is nothing outside to interfere with the earth between now and
to-morrow.",0.45454545454545453
848519,wanted,me,and,he,was, ,"wanted,me,and,he,was",9.165991341417122,"Mr. Heathcliff did not explain his reasons for taking a
new mind about my coming here; he only told me he wanted me, and he was
tired of seeing Catherine: I must make the little parlour my
sitting-room, and keep her with me.",0.0
351173,generals,led,their,men,in, ,"generals,led,their,men,in",9.166006762436936,"The Confederate
generals led their men in the repeated charges, and the loss among them
was of unusual proportions.",0.5
479009,been,puzzling,concerning,the,kingdom, ,"been,puzzling,concerning,the,kingdom",12.938919719133352,"""THE FAIRY BODY.--The normal working body of the gnome and fairy
 is not of human nor of any other definite form, and herein lies
 the explanation of much that has been puzzling concerning the
 nature-spirit kingdom generally.",0.23076923076923078
424781,margin,is,part,of,it, ,"margin,is,part,of,it",12.938921878970142,"But this, at least, I have very
clearly realised, that the ocean is there and that the margin is part
of it, and that down that shelving shore the human race is destined to
move slowly to deeper waters.",0.2857142857142857
872571,by,dismissing,him,at,once, ,"by,dismissing,him,at,once",12.939053423991119,"Humbled as he now is, I cannot forgive
him such an instance of pride, and am doubtful whether I ought not to
punish him by dismissing him at once after this reconciliation, or
by marrying and teazing him for ever.",0.6666666666666666
847186,migrated,together,into,the,stirring, ,"migrated,together,into,the,stirring",12.93960433756991,"'What a realisation of something more romantic than a fairy
tale it would have been for Mrs. Linton Heathcliff, had she and I struck
up an attachment, as her good nurse desired, and migrated together into
the stirring atmosphere of the town!",0.125
755159,the,vividness,of,the,experience, ,"the,vividness,of,the,experience",12.939692801881765,"Broadly speaking, memory is
trustworthy in proportion to the vividness of the experience and to its
nearness in time.",0.5294117647058824
211633,were,the,defences,of,the, ,"were,the,defences,of,the",12.939944948782866,"Such were the defences of the City of Mexico in September, 1847, on the
routes over which General Scott entered.",0.16666666666666666
436063,script,is,really,a,combination, ,"script,is,really,a,combination",12.941594565642276,"As the Ogham
script is really a combination of straight lines, the latter case may
be taken with considerable reserve.",0.23529411764705882
143519,tongue,may,have,stammered,as, ,"tongue,may,have,stammered,as",12.94162109141373,"That love to mankind,
without any redeeming intention in the background, is only an ADDITIONAL
folly and brutishness, that the inclination to this love has first to
get its proportion, its delicacy, its gram of salt and sprinkling
of ambergris from a higher inclination--whoever first perceived
and ""experienced"" this, however his tongue may have stammered as it
attempted to express such a delicate matter, let him for all time be
holy and respected, as the man who has so far flown highest and gone
astray in the finest fashion!",0.45454545454545453
374488,best,entitled,to,consideration,of, ,"best,entitled,to,consideration,of",12.943243525942101,"They supposed that it would naturally
follow the freedom of the negro, but that there would be a time of
probation, in which the ex-slaves could prepare themselves for the
privileges of citizenship before the full right would be conferred; but
Mr. Johnson, after a complete revolution of sentiment, seemed to regard
the South not only as an oppressed people, but as the people best
entitled to consideration of any of our citizens.",0.058823529411764705
148550,appreciate,and,act,according,to, ,"appreciate,and,act,according,to",12.943273994449875,"The old theological problem of ""Faith"" and ""Knowledge,"" or more
plainly, of instinct and reason--the question whether, in respect to the
valuation of things, instinct deserves more authority than rationality,
which wants to appreciate and act according to motives, according to
a ""Why,"" that is to say, in conformity to purpose and utility--it
is always the old moral problem that first appeared in the person of
Socrates, and had divided men's minds long before Christianity.",0.3333333333333333
76258,popularize,his,subject,but,for, ,"popularize,his,subject,but,for",30.112422244994583,"His great ability as a phonetician (he was, I think, the best
of them all at his job) would have entitled him to high official
recognition, and perhaps enabled him to popularize his subject, but for
his Satanic contempt for all academic dignitaries and persons in
general who thought more of Greek than of phonetics.",0.07692307692307693
750387,universals,as,such,until,the, ,"universals,as,such,until,the",30.119667790040637,"Hence we succeed in avoiding all notice of universals as
such, until the study of philosophy forces them upon our attention.",0.0
429706,mediums,have,been,badly,injured, ,"mediums,have,been,badly,injured",30.122449372309426,"When still
attached to the medium the ectoplasm flies back with great force on
exposure to light, and, in spite of the laughter of the scoffers, there
is none the less good evidence that several mediums have been badly
injured by the recoil after a light has suddenly been struck by some
amateur detective.",0.7647058823529411
656696,enfolds,the,concentrated,essence,of, ,"enfolds,the,concentrated,essence,of",30.13756374798541,"Each cover of a true book enfolds the
concentrated essence of a man.",0.05555555555555555
790585,present,tell,me,were,you, ,"present,tell,me,were,you",30.93133875292222,"But never mind Linton at present: tell me, were
you not with Heathcliff last night?",0.0
178661,insatiated,and,insatiable,in,love, ,"insatiated,and,insatiable,in,love",31.109685210638304,"Alas, he who knows the heart finds out how poor,
helpless, pretentious, and blundering even the best and deepest love
is--he finds that it rather DESTROYS than saves!--It is possible that
under the holy fable and travesty of the life of Jesus there is hidden
one of the most painful cases of the martyrdom of KNOWLEDGE ABOUT LOVE:
the martyrdom of the most innocent and most craving heart, that
never had enough of any human love, that DEMANDED love, that demanded
inexorably and frantically to be loved and nothing else, with terrible
outbursts against those who refused him their love; the story of a poor
soul insatiated and insatiable in love, that had to invent hell to send
thither those who WOULD NOT love him--and that at last, enlightened
about human love, had to invent a God who is entire love, entire
CAPACITY for love--who takes pity on human love, because it is so
paltry, so ignorant!",0.1
757339,refutable,is,a,theory,to, ,"refutable,is,a,theory,to",31.1102156692291,"When Othello believes that Desdemona loves Cassio, he
must not have before his mind a single object, 'Desdemona's love for
Cassio', or 'that Desdemona loves Cassio ', for that would require that
there should be objective falsehoods, which subsist independently of
any minds; and this, though not logically refutable, is a theory to be
avoided if possible.",0.0
426620,vouched,for,by,only,one, ,"vouched,for,by,only,one",31.28848850406309,"Now, having said so much of the spirit body, and having indicated that
its presence is not vouched for by only one line of evidence or school
of thought, let us turn to what happens at the time of death, according
to the observation of clairvoyants on this side and the posthumous
accounts of the dead upon the other.",0.11764705882352941
222444,tendering,my,resignation,to,take, ,"tendering,my,resignation,to,take",31.332933854051866,"I concluded, therefore, to
resign, and in March applied for a leave of absence until the end of the
July following, tendering my resignation to take effect at the end of
that time.",0.29411764705882354
516304,remodeled,her,own,works,with, ,"remodeled,her,own,works,with",31.38919676120448,"Jo regarded them as worthy of Bacon, Milton, or
Shakespeare, and remodeled her own works with good effect, she thought.",0.18181818181818182
